movie_title,original_title,type,description,content_rating,genres
Harakiri,Seppuku,movie,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Not Rated,"['Japanese', 'Epic', 'Period Drama', 'Psychological Drama', 'Drama', 'Mystery']"
The Departed,The Departed,movie,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,R,"['Cop Drama', 'Epic', 'Gangster', 'Psychological Thriller', 'Crime', 'Drama', 'Thriller']"
Whiplash,Whiplash,movie,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,R,"['Psychological Drama', 'Drama', 'Music']"
The Prestige,The Prestige,movie,"Two magicians dismantle their lives to outmaneuver each other following a shared tragedy. They chase the ultimate illusion across Victorian London, sacrificing sanity and safety to master a teleportation feat that defies all logic.",PG-13,"['Period Drama', 'Steampunk', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
American History X,American History X,movie,A neo-Nazi is released from prison a changed man and hopes to prevent his younger brother from following in his footsteps.,R,"['Gangster', 'Political Drama', 'Prison Drama', 'Psychological Drama', 'Tragedy', 'Crime', 'Drama']"
Léon: The Professional,Léon,movie,"When her family is murdered by a group of corrupt officers led by the tyrannical Norman Stansfield, a young 12-year-old girl enlists the help of an Italian-American hitman to seek revenge.",R,"['Gangster', 'One-Person Army Action', 'Psychological Drama', 'Psychological Thriller', 'Tragedy', 'Action', 'Crime', 'Drama', 'Thriller']"
Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,movie,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",PG,"['Marvel', 'Action Epic', 'Adventure Epic', 'Coming-of-Age', 'Computer Animation', 'Dark Comedy', 'Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Superhero']"
Cinema Paradiso,Nuovo Cinema Paradiso,movie,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",PG,"['Italian', 'Coming-of-Age', 'Drama', 'Romance']"
Casablanca,Casablanca,movie,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,PG,"['Psychological Drama', 'Drama', 'Romance', 'War']"
The Intouchables,Intouchables,movie,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",R,"['French', 'Buddy Comedy', 'Docudrama', 'Comedy', 'Drama']"
The Usual Suspects,The Usual Suspects,movie,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,R,"['Caper', 'Gangster', 'Heist', 'Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Whodunnit', 'Crime', 'Drama', 'Mystery']"
Django Unchained,Django Unchained,movie,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",R,"['Dark Comedy', 'Epic', 'One-Person Army Action', 'Period Drama', 'Western Epic', 'Drama', 'Western']"
Alien,Alien,movie,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",R,"['Alien', 'Alien Invasion', 'Cyberpunk', 'Monster Horror', 'Space Sci-Fi', 'Horror', 'Sci-Fi']"
