movie_title,original_title,type,description,content_rating,genres
"Monsters, Inc.","Monsters, Inc.",movie,Two monsters whose job is to make human children scream accidentally let a little girl into their world and must now protect her from their own kind to return her home unscathed.,G,"['Buddy Comedy', 'Computer Animation', 'Dark Comedy', 'Farce', 'High-Concept Comedy', 'Satire', 'Slapstick', 'Supernatural Fantasy', 'Urban Adventure', 'Adventure']"
Gone Girl,Gone Girl,movie,The husband of a missing woman becomes the main suspect in her disappearance.,R,"['Erotic Thriller', 'Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Tragedy', 'Whodunnit', 'Drama', 'Mystery', 'Thriller']"
Spider-Man: No Way Home,Spider-Man: No Way Home,movie,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",PG-13,"['Marvel', 'Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Fantasy']"
Jaws,Jaws,movie,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",PG,"['Disaster', 'Monster Horror', 'Sea Adventure', 'Survival', 'Adventure', 'Drama', 'Horror', 'Thriller']"
Ford v Ferrari,Ford v Ferrari,movie,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,PG-13,"['Car Action', 'Docudrama', 'Motorsport', 'Period Drama', 'Action', 'Biography', 'Drama', 'Sport']"
In the Name of the Father,In the Name of the Father,movie,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",R,"['Docudrama', 'Legal Drama', 'Period Drama', 'Political Drama', 'Prison Drama', 'Tragedy', 'True Crime', 'Biography', 'Crime', 'Drama']"
Wild Tales,Relatos salvajes,movie,Six short stories that explore the extremities of human behavior involving people in distress.,R,"['Spanish', 'Dark Comedy', 'Psychological Drama', 'Psychological Thriller', 'Satire', 'Comedy', 'Drama', 'Thriller']"
The Gold Rush,The Gold Rush,movie,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Approved,"['Farce', 'Feel-Good Romance', 'Romantic Comedy', 'Satire', 'Slapstick', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Western']"
Sherlock Jr.,Sherlock Jr.,movie,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Passed,"['Bumbling Detective', 'Farce', 'Feel-Good Romance', 'Satire', 'Slapstick', 'Action', 'Comedy', 'Romance']"
Mary and Max,Mary and Max.,movie,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.",Not Rated,"['Adult Animation', 'Coming-of-Age', 'Dark Comedy', 'Period Drama', 'Psychological Drama', 'Stop Motion Animation', 'Animation', 'Comedy', 'Drama']"
The Chaos Class Failed the Class,Hababam Sinifi: Sinifta Kaldi,movie,"A group of students have failed their exams and must return for another year. Distracting them all is a new young female teacher, who they try out their usual tricks on.",,"['Turkish', 'Satire', 'Comedy']"
The Deer Hunter,The Deer Hunter,movie,The lives of a group of friends are forever changed by the Vietnam War.,R,"['Epic', 'Psychological Drama', 'Tragedy', 'War Epic', 'Drama', 'War']"
The Wages of Fear,Le salaire de la peur,movie,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Not Rated,"['French', 'Psychological Drama', 'Survival', 'Adventure', 'Drama', 'Thriller']"
The General,The General,movie,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",Passed,"['Farce', 'Slapstick', 'Action', 'Adventure', 'Comedy', 'Drama', 'War']"
Rocky,Rocky,movie,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,PG,"['Boxing', 'Drama', 'Sport']"
Logan,Logan,movie,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",R,"['Marvel', 'Contemporary Western', 'Dystopian Sci-Fi', 'Psychological Drama', 'Psychological Thriller', 'Quest', 'Road Trip', 'Superhero', 'Tragedy', 'Action']"
A Silent Voice: The Movie,Koe no katachi,movie,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends.",Not Rated,"['Japanese', 'Adult Animation', 'Anime', 'Coming-of-Age', 'Hand-Drawn Animation', 'Psychological Drama', 'Shōnen', 'Slice of Life', 'Animation', 'Drama']"
Chainsaw Man - The Movie: Reze Arc,Gekijô-ban Chensô Man Reze-hen,movie,"A direct sequel to the first season of the series ""Chainsaw Man"", featuring Denji, a young man who co-exists with a chainsaw demon. Denji encounters a new romantic interest, but will his involvement place them both in danger?",R,"['Japanese', 'Adult Animation', 'Anime', 'Dark Comedy', 'Dark Fantasy', 'Dark Romance', 'Hand-Drawn Animation', 'Shōnen', 'Supernatural Fantasy', 'Teen Fantasy']"
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,movie,An intrepid blacksmith teams up with an eccentric pirate captain to save his love from an undead pirate crew.,PG-13,"['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Sea Adventure', 'Supernatural Fantasy', 'Swashbuckler', 'Action', 'Adventure']"
Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,movie,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Approved,"['Political Drama', 'Comedy', 'Drama']"
Tokyo Story,Tôkyô monogatari,movie,"An old couple visit their children and grandchildren in the city, but receive little attention.",Not Rated,"['Japanese', 'Psychological Drama', 'Drama']"
La haine,La Haine,movie,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Not Rated,"['French', 'Gangster', 'Psychological Drama', 'Crime', 'Drama']"
Spotlight,Spotlight,movie,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",R,"['Docudrama', 'Legal Drama', 'Period Drama', 'Psychological Drama', 'True Crime', 'Workplace Drama', 'Biography', 'Crime', 'Drama']"
On the Waterfront,On the Waterfront,movie,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Approved,"['Legal Drama', 'Legal Thriller', 'Tragedy', 'Crime', 'Drama', 'Thriller']"
The Sound of Music,The Sound of Music,movie,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,G,"['Classic Musical', 'Epic', 'Period Drama', 'Biography', 'Drama', 'Family', 'Musical', 'Romance']"
Wild Strawberries,Smultronstället,movie,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Not Rated,"['Swedish', 'Psychological Drama', 'Drama', 'Romance']"
Jai Bhim,Jai Bhim,movie,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",Approved,"['Tamil', 'Legal Drama', 'Crime', 'Drama']"
The Terminator,The Terminator,movie,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,R,"['Terminator', 'Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'One-Person Army Action', 'Time Travel', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']"
Maharaja,Maharaja,movie,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",,"['Tamil', 'One-Person Army Action', 'Action', 'Crime', 'Drama', 'Thriller']"
The Third Man,The Third Man,movie,"Pulp novelist Holly Martins travels to shadowy, mystifying post-war Vienna only to find himself investigating the mysterious sudden death of old friend Harry Lime.",Approved,"['Film Noir', 'Hard-boiled Detective', 'Psychological Thriller', 'Spy', 'Whodunnit', 'Drama', 'Mystery', 'Thriller']"
The Best Years of Our Lives,The Best Years of Our Lives,movie,Three WWII veterans return home forever changed and find it difficult to adjust to their new realities.,Approved,"['Epic', 'Feel-Good Romance', 'Romantic Epic', 'War Epic', 'Drama', 'Romance', 'War']"
The Big Lebowski,The Big Lebowski,movie,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",R,"['Buddy Comedy', 'Drug Crime', 'Satire', 'Stoner Comedy', 'Comedy', 'Crime']"
Before Sunset,Before Sunset,movie,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",R,"['Feel-Good Romance', 'Drama', 'Romance']"
The Incredibles,The Incredibles,movie,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",PG,"['Action Epic', 'Adventure Epic', 'Computer Animation', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Animation', 'Family']"
Room,Room,movie,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",R,"['Psychological Drama', 'Drama', 'Thriller']"
Hachi: A Dog's Tale,Hachi: A Dog's Tale,movie,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds.",G,"['Animal Adventure', 'Biography', 'Drama', 'Family']"
The Seventh Seal,Det sjunde inseglet,movie,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Not Rated,"['Swedish', 'Dark Comedy', 'Period Drama', 'Psychological Drama', 'Drama', 'Fantasy']"
Hotel Rwanda,Hotel Rwanda,movie,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",PG-13,"['Docudrama', 'Epic', 'Psychological Drama', 'Biography', 'Drama', 'History', 'War']"
Platoon,Platoon,movie,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",R,"['Docudrama', 'Epic', 'Jungle Adventure', 'Period Drama', 'Psychological Drama', 'Tragedy', 'War Epic', 'Drama', 'War']"
The Exorcist,The Exorcist,movie,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",R,"['Body Horror', 'Psychological Drama', 'Psychological Horror', 'Supernatural Horror', 'Tragedy', 'Horror']"
The Iron Giant,The Iron Giant,movie,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,PG,"['Artificial Intelligence', 'Buddy Comedy', 'Hand-Drawn Animation', 'Period Drama', 'Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family']"
Rush,Rush,movie,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",R,"['Docudrama', 'Motorsport', 'Period Drama', 'Biography', 'Drama', 'Sport']"
The Wizard of Oz,The Wizard of Oz,movie,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",G,"['Adventure Epic', 'Classic Musical', 'Fairy Tale', 'Fantasy Epic', 'Quest', 'Adventure', 'Family', 'Fantasy', 'Musical']"
Stand by Me,Stand by Me,movie,A writer recounts a childhood journey with his friends to view the body of a boy who went missing in the woods.,R,"['Coming-of-Age', 'Dark Comedy', 'Psychological Drama', 'Quest', 'Adventure', 'Drama']"
The Battle of Algiers,La battaglia di Algeri,movie,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Not Rated,"['Arabic', 'Docudrama', 'Political Drama', 'Drama', 'War']"
My Father and My Son,Babam ve Oglum,movie,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Not Rated,"['Turkish', 'Coming-of-Age', 'Political Drama', 'Psychological Drama', 'Drama']"
The Passion of Joan of Arc,La passion de Jeanne d'Arc,movie,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy, and the ecclesiastical jurists attempt to force her to recant her claims of holy visions.",Passed,"['Costume Drama', 'Legal Drama', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Biography', 'Drama', 'History']"
Obsession,Obsession,movie,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",R,"['Dark Romance', 'Psychological Horror', 'Psychological Thriller', 'Supernatural Horror', 'Horror', 'Romance', 'Thriller']"
The Handmaiden,Ah-ga-ssi,movie,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.",Not Rated,"['Korean', 'Dark Romance', 'Erotic Thriller', 'Psychological Thriller', 'Romantic Epic', 'Steamy Romance', 'Drama', 'Romance', 'Thriller']"
Drishyam,Drishyam,movie,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Not Rated,"['Malayalam', 'Psychological Thriller', 'Suspense Mystery', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Gangs of Wasseypur,Gangs of Wasseypur,movie,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Not Rated,"['Hindi', 'Dark Comedy', 'Gangster', 'Satire', 'True Crime', 'Action', 'Comedy', 'Crime', 'Drama', 'Thriller']"
